timestamp,commit_hash,pr_number,kind,name,value,pr_numbers,comparison_base_commit_hash
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,exe,68847584,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,opt,479942720,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,a,215359584,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cmxa,349113,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cma,262862714,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cmi,23716439,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cmx,152629838,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cmo,1505893,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cms,24769920,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cmsi,8401492,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cmt,643981800,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,cmti,71603662,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,size_in_bytes,o,4624,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,time_in_seconds,<all>,2851.846,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,time_in_seconds,parsing,10.023,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,time_in_seconds,typing,260.645,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,time_in_seconds,generate/flambda2,1165.176,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,time_in_seconds,generate/compile_phrases/cfg,439.347,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
2026-07-28T12:22:05Z,ee149ef2ebd4ae79e61249f68228214bf02672ac,6569,time_in_seconds,generate/assemble,76.669,6251/6569,de7c97b5c990e9ccc2d8edff7423172a16bf409a
