timestamp,commit_hash,pr_number,kind,name,value,pr_numbers,comparison_base_commit_hash
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,exe,78007120,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,opt,506915384,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,a,226877276,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cmxa,349296,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cma,274371881,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cmi,26144560,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cmx,166747059,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cmo,1512402,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cms,24945045,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cmsi,8426960,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cmt,707883724,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,cmti,71859221,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,size_in_bytes,o,4624,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
2026-08-03T21:00:39Z,d656be1773a290877cf2e593f14e1844e1118256,6690,time_in_seconds,<all>,2429.956,6680/6690,7e0e50fe1f2a4d28631129799c498a2ae18a0c62
