timestamp,commit_hash,pr_number,kind,name,value,pr_numbers,comparison_base_commit_hash
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,exe,72741640,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,opt,479893544,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,a,230102012,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cmxa,356850,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cma,320199444,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cmi,26465157,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cmx,175950593,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cmo,1744711,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cms,25108539,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cmsi,8419271,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cmt,741933005,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,cmti,73119805,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,size_in_bytes,o,4904,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,time_in_seconds,<all>,2630.420,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,time_in_seconds,parsing,9.232,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,time_in_seconds,typing,263.590,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,time_in_seconds,generate/flambda2,1079.400,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,time_in_seconds,generate/compile_phrases/cfg,376.574,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,time_in_seconds,generate/assemble,68.993,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,alloc_in_bytes,<all>,3740325515385,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,alloc_in_bytes,parsing,14067568709,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,alloc_in_bytes,typing,341853883450,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,alloc_in_bytes,generate/flambda2,2401831966775,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,alloc_in_bytes,generate/compile_phrases/cfg,420603807724,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,alloc_in_bytes,generate/assemble,465766948,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,top_heap_in_bytes,<all>,157271529432,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
2026-09-04T02:54:21Z,78a88193aa688f7371d56e8b076bfab66c76295f,7065,top_heap_in_bytes,parsing,2357324054,7063/7067/7065,2fb7323595bc399fe3c6a12f4be0f04e0db1e6db
